[USER] 早く遊ぼーよ(^o^) 死んじまうよおれ（;￣O￣）,,,,,,
暑いなー。暑さに強いんだけどなー。寝つけないなー。変だなー？おかしいなー？,,,,,,
ガールズバーで接客 [URL] #yjfc_first_aid こんなニュース報道して何になるん？ これ以上いいやろ？知らん人間が勝手な妄想でコメントするな。知ってる俺等かしたら心痛い事わからんねやろな、俺わ先輩はいい先輩やったて胸はって言えます,,,,,,
久しぶりにやガラージュやロフトクラシック回したー。楽しかった～,,,,,,
今日のランチは麻婆豆腐。病みつきになる辛さだ。 (@ 中国料理 四川) [pic]: [URL],,,,,,
ドイツビールの店に来てます。シュナイダーヴァイセうまいですよ。,,,,,,
[USER] 25日に行って、27に帰るよ＼(^o^)／てか、25彩奈ちゃんに会う！新宿で！みぽん来れる？,,,,,,
ダシ注入式玉子で中毒グルメとして人気のラーメン屋さん。一口で割らずに食べると口の中にダシと黄身が洪水のように溢れます @ 拉麺 能登山に写真つきタッチ！ [URL],,,,,,
おいしかったです(*´∀｀*)ごちそうさまでした～ RT [USER] [USER] お待ちしてます。～(^ ^) [URL],,,,,,
[USER] よかったネっ♫大喧嘩になるんかと思った(^^;;,,,,,,
リア王読み終えたー！！ あとはレポートにするだけ！ おし、運転してくる！バック合格してみせる！,,,,,,
これから『もやもや脱却プロジェクト』に参加させて頂きます(^-^)/ (@ カフェミヤマ 渋谷公園通り店) [URL],,,,,,
車にてFM聞いてますけど、このターザン山下…このDJの声を聞くと海に行きたくなる。そんな私です。車の冷房から離れたくないでやんす（笑）,,,,,,
[USER] 結構リーズナブルですね。て全部のツイート見てないんですが、魅力的です。僕は只今、魚真です。,,,,,,
今日は日中暑かったし、夜も寝苦しいんかいなと思って窓開けたら、あらまあ結構涼しいやんね。 ぐっすり熟睡できそう。,,,,,,
澄み渡った青空の先に、もっと大きな世界が拡がってるなんて信じられないけど、それくらい人間は、小さな存在だ。,,,,,,
圏外だったから、今、タッチ @ 大塔青少年旅行村にタッチ！ [URL],,,,,,
[USER] げ！PCからじゃないと直せないんだっけ(>_<),,,,,,
[USER] 私もフォローしたょん★ よかった無事できたねっ(*^^*),,,,,,
法事で諏訪湖の近くに来ています。寒い～～～(( _ )) [URL],,,,,,
[USER] 了解(^_-) もし会えたらね(^_^)、私はめちゃ田舎にいるからなぁ。逆にこんなとこに娘さんいたら ダメ( T_T)＼(^-^ ),,,,,,
可愛いい女性になろうと思ってるのだか、今日振り返ると、ビール５ℓのんでいた。でも眠くならない。私はサイボーグか⁇本気で疑う。。・°°・(＞_＜)・°°・。,,,,,,
[USER] 特に連絡は来てません。 ささやきにも何も来てないです,,,,,,
紀州和歌山らーめんきぶんや。熟成700円[USER] [URL],,,,,,
ノート用のDDR3の1GBを200円で買った。ジャンクのテスト用だから安くて、壊れても痛くないやつ,,,,,,
1200円 1drink free foodで食べ物がぜんぶ美味しい。やばい。内装も外国みたい。 (@ Pagliaccio Torattoria Bar & Cafe) [URL],,,,,,
かわうぃい♥RT [USER] 谷啓乙(・∀・) RT [USER] ガチョーン！ [URL],,,,,,
本日から正月のお雑煮に使う小松菜の出荷最盛期！30日までしっかり出させていただきます。 [URL],,,,,,
大丈夫ーーー(>_<)?⁈ 風邪ひかなぃでょー♡♡ あっかい飲み物ぉ持ちいたします♪(´ε｀ )笑,,,,,,
今日の東京-埼玉間の気温17度。フリース一枚でバイクではチョット寒かった。,,,,,,
[USER] [USER] オハヨーゴザイマス。休みで歯医者。予約の時間に遅れそうになりました(///∇///),,,,,,
これからオープンキャンパスだぜΣｂ( ｀・ω・´)ｸﾞｯｲﾏｺｺ L:新潟県新潟市中央区紫竹山４丁目,,,,,,
やべえヽ(´o｀； クソ眠いけど、5時まで帰れないorz 田村さんは無双状態から一気にダウンww,,,,,,
いん 大船ゆーすた♪(´ε｀ )え、何で花火？誰かたんじょー日？←、ここでもはっぴーV.D.♡てきな？もお１５日だけどな。そしてなぜかみんな切なSong（笑）何かあったの？←,,,,,,
これから、ちゅら海水族館(♥Ü♥)楽しみ♪沖縄ラストDAY、ようやく晴れたー♩♬,,,,,,
春夏秋冬柳原2011が今日届いた。 ヤナソロジーより相当薄いw。映画のパンフレットと言った感じ。 まあオールカラーで紙質も良いし、加えて自費出版ならしょうがないか。内容は濃いですねー。dreamer'shighが好きな人は買うべき。  [URL],,,,,,
[USER] そーなん?!でもアカウント作りなおさなあかんやんな(>_<),,,,,,
明日は仕事納め。その後、会社の忘年会です。幹事はオイラなんだ。,,,,,,
[USER] 売れよ(笑)あやりが海外買いなよ(^o^)(^o^),,,,,,
成田へと向かうバスなう #kichi-mtv-2012jan [URL],,,,,,
え？なになに？ 台風が？ 来てるから？  うんうん、 お前は？  居残れ？ うん、、え？なに？  オレは居残り？ みんなは？  え、もぅ帰るって？  なんで？え？  家を守らなきゃ だから。 ハイハイなるほどね、家ね、うんうん、心配だもんね。そうそうそうそう。 で、オレは？,,,,,,
[USER] ええ。ミドリちゃん担当ですよ。良い方向だと思います。,,,,,,
なんだかここ数日、扁桃腺がやられてるなぁ(T ^ T)のどぬーるスプレーを購入しにいかなくては（−＿−；） あれ、効くんですよね～(o^^o),,,,,,
凄い雷！真っ暗、雨が！ / 芝郵便局にイマココ! #芝郵便局 [URL],,,,,,
モエシャンは良いとして、キノコホテルのライブが気になります。＝  モエ・エ・シャンドン ロゼが Le Baron de Parisでパーティ! [URL],,,,,,
近くのコンビニあとに、餃子の王将ができた。西でしか食べれなかったので嬉しい。,,,,,,
[URL] 平成女学院向かいのルノアール。 (@ 歌舞伎町) [URL],,,,,,
いよいよ来週がさんしかっぷ本番。 最後の自主トレ。 ドライバー、5番、9番、ウエッジと 最小限のクラブでスイング確認。,,,,,,
金貯めて夏までにはまた海外行くけど 東南アジアかスペイン・フランス・イタリアだな！,,,,,,
ふふ。L'Arc～en～Cielライブ、楽しみ(*´∇｀*)♪,,,,,,
選手、スタッフの皆様お疲れ様でした。試合には敗れましたが、気持ちの入ったいいゲームでした(o^^o) 試合終了後の円陣。 [URL],,,,,,
"ょろれいひ〜( •ॢ◡-ॢ)✩⃛♱ೄ  ""[USER] [USER] [USER] [USER] [USER]         みんなーおとえがきたよー""",,,,,,
こんな立派な新潟県産しめじが(๑♜д♜)もう立派としかいいようがないです！ [URL],,,,,,
お早うです！！昨夜のパーティーの余韻を引きずりながら起床！てか4時から起きてます。仕事準備始めるかな。,,,,,,
今日から８月だ！ 今月も予算クリア いくぞ！はい！よろこんで！,,,,,,
久々の部活おもっくそしんどかった(T . T) でも明日からスノボーやからまぁいいか(^O^)／,,,,,,
寒さで眠さ倍増(ｰｰ;)少しだけ、冬眠させてけれ( ；´Д｀)～！,,,,,,
明日は子供の運動会。 おやすみなさい (( _ _ ))..zzzZZ,,,,,,
今日の宿泊  予約していたお部屋より広いお部屋に  ユッタリ [URL],,,,,,
大山のぶ代がドラえもんの声をやっていたこと#今の小学生は知らない,,,,,,
[USER] なぜに上田❓  ただいま、餃子の王将だぽ♪( ´θ｀)ノ,,,,,,
同僚と焼き鳥行ってきましたよっと。ま、人の仕事辞める辞めんに口は出せんでな…。決心はついてるけど言い出せないと。次の新人が犠牲になってしまうのかなぁ。,,,,,,
喜茂別のきのこ王国まで戻ってきました。  結局ここでは何も買わなかったなぁ。 [URL],,,,,,
紅莉園にて。これで880円だべ？味も本格的に美味しい。店も、現地人が経営している店にしては格段に綺麗で洒落てる。 [URL],,,,,,
今年のラーメン食べおさめはここ！ ん〜、やっぱりラーメンはコッテリに限る( ´ ▽ ` )ﾉ 台湾ではまず食べられない、福岡ならではの味です(*^_^*) [URL],,,,,,
本番前最終調整中。 奥では勿論、将棋部が集中力を高めています。古 [URL],,,,,,
初めての夏休みはどうだったのだろう。あと２日彼にとって最高にしよう。 ということでプールに来ました。 [URL],,,,,,
五行なう。先輩に連れてきて頂き、かつ僕の人生が変わったお店です。うめぇ。。,,,,,,
仙台に向け、新幹線。旅の支度がバタバタで安いパーキングに止める間もなく飛び乗りました。ま、本日戻るのですがね。そしてツイートの返信あまりしない件、すみません。こまめに見てはいますよ！ 返信してないけど。,,,,,,
ピータン、餃子さいこー！ (@ 餃子のだんちゃん w/ [USER] [pic]: [URL],,,,,,
おはようございます。朝からお日様出てセミの声が聞こえます。(^^),,,,,,
外壁に打ち込んである足場用アンカーを外した後の穴を埋めるためのタッチアップ剤も準備OKです。,,,,,,
[USER] アイコンも名前もすぐわからないらしくリア友からあまりフォローしてもらえなくなった＼(^o^)／笑,,,,,,
これからバイトー(>_<) (@ イオンモール盛岡) [URL],,,,,,
iPhone4Sゲット‼わーい(^o^)♪早く使いこなさねば…,,,,,,
沢、復帰でヘッド魅せた！涙ぐむも我慢「Ｗ杯より緊張」…なでしこＬ：その他：サッカー：スポーツ報知 [URL],,,,,,
相模大野駅北口バス乗り場にイマココ! #相模大野駅北口バス乗り場 [URL],,,,,,
祖父曰く、うちの先祖はここにお参りしておけば大丈夫なのだそうです。近くを通ったのでお参り。渋谷金王八幡宮なり。,,,,,,
いつもの耳鼻科からの～原宿餃子楼なう。並んでも1〜2名なら回転が早いので、すぐに座れますが、3名〜だとタイミングが悪いと待つなぁ(^_^;)待ってる間にヨダレが…うちわ配布中(^-^)/ [URL] #30min,,,,,,
そろそろ、座席後ろでうーうー騒いで、座席をたまに押してくるお子様を張ったおしたくなる。,,,,,,
遠い公園事務所付近の駐車場は60%程度 ＃roasso [URL],,,,,,
[USER] mixiのアストレイです(^-^)/フォローします＼(^-^)／タメ大丈夫です(^-^)/,,,,,,
ローソン、工事のおっちゃんばっかで行きにくかったぁ～(*_*)今日も楽しかった(^o^)♪寝るー！,,,,,,
スキー場からツィートする余裕なかった(￣◇￣;)おまけで、夕飯食べた蕎麦屋で呑んだカンの陶器。お店のスタッフさんの叔母さんの、前の前の旦那さんがつくったんだって☆ [URL],,,,,,
歯性上顎洞炎 再発をくり返すようなら、歯根を削る根治術か、抜歯しかないようですが、どちらも怖いです。 他に方法はないものでしょうか？,,,,,,
[USER] 今日僕もプライベートでヤフードームにきています！プロ野球もいいですね(^^),,,,,,
PechaKuchanightKyotoなう。 (@ UrBANGUILD アバンギルド w/ 3 others) [URL],,,,,,
[USER] みてる～♪♪やばいよﾈ～(*^^)v休日の過ごし方は引きこもって海外ドラマみあさってるからww,,,,,,
レアチーズケーキの甘酸っぱさと、イエローキウイの甘さがあってるー。種の粒々がアクセントになってておいしー。  @ D&DEPARTMENT DINING TOKYO [URL],,,,,,
江原太郎77歳(スラム) 　2017年12月24日女子校内にて今世紀最大のドヤ顔をしている状態で発見 [URL],,,,,,
SoftBankを解約してiPhoneがiPodtouchに降格したけど、それはまるで、去勢された雄犬だ。,,,,,,
娘、半分、寝ながら歩いてる（笑 (@ 石川町駅 (Ishikawacho Sta.)) [URL],,,,,,
[USER] [USER] ゆうゆうからね、教えてもらったん！電話ではなすまででもなくメールだと伝わりずらいないようを伝える時に使います！,,,,,,
[USER] こんにちは。いいえー、返信なんて何時でもいいですよ。こっちでもその曲はやんなかったです。ストリングスがいればやるかもしれませんね。,,,,,,
Tシャツのデザインしてるサイト【CLUB T】からゴールドデザイナーに選ばれました(*^◯^*)2010年4月〜2012年4月までに100点以上売上げたデザイナーに贈られるそうです。ちなみに300点以上売上げてますw [URL],,,,,,
寝たら京都、滋賀まで行ってしまうので、起きて耐えてるなう。(^^;;,,,,,,
[USER] いきなりぶっ飛ばしたら変わりに金もらえるみたいな感じだったらオレ行くぜ！,,,,,,
[USER] なんにも楽しいことないよ(；´Д`A悲しいくらい・・・,,,,,,
元気そうでよかったぁー！！なんだか五月後半から楽しみがいっぱい！,,,,,,
アルコール調達に (@ いなげや ina21 杉並桜上水店) [URL],,,,,,
iPhoneのバッテリーが3時間で0%になってしまう…プッシュ通知をオフにすれば解決するか？,,,,,,
子供と映画ドラえもん。こんなに泣けるなんて（ ; ; ）涙腺弱くなったなぁ。。。,,,,,,
六角橋の交差点のすき家の区画で火事っぽい。うなぎ屋さんが・・・・神奈川県横浜市神奈川区六角橋１丁目１１−１,,,,,,
9ヶ月のお腹かかえてはーちゃんとｷｬｯﾁﾎﾞｰﾙって…(T_T),,,,,,
[USER] 綺麗っすよねー\(//∇//)\ 地元でお金貯めつつ地元で動きます☻、,,,,,,
[USER] 気を付けてーー(^o^)/そして…溺れてないように(笑),,,,,,
"ww 私はエアー代々木だな(笑)　""[USER] 参戦する方はこちら #TMR代々木 残念ながらお留守番の方はこちら #エアー代々木""",,,,,,
義理の妹の所に行ったらサークルが存在していなかったなう。弟に電話したら今回は欠席とのこと。 #C80,,,,,,
三若さんって、いま大須演芸場にいるの？ブラ坊さん(？)もいたけど。つうか、ちょっと前にも一人、芸人さん出て行った。。みんな芸協にあらず。,,,,,,
DMCの尾崎さんに連れて来て頂きました～ヤバイ！！(@ ハングリータイガー 保土ヶ谷店) [URL],,,,,,
丸亀かと思っていたがはなまるがもう少しでオープンかな [URL],,,,,,
え、ずっと小さな亀だと思ってた“[USER] ダーリンが結婚式の引き出物のなんか冊子で選んで送られてくるやつで注文した「ベタ」って言う熱帯魚だよ。 RT [USER] それ虫さされの毒とるやつじゃないですかー(ﾉД`) あの・・それよ,,,,,,
うわああ！すごい色！ちょっとこわいぐらいの雲！  @ Cafe Fish! [URL],,,,,,
今、長居公園まで行って帰ってきました。 6キロメートルあるきました。 蒸し暑かったです♪ 【Run&Walk】2011/07/27 21:04, 6.07Km, Time 58:46, 259kcal, [web][URL] #RunWalk,,
岡山の作東でノンビリ横になりながらサンTVで野球観てる。なんか良いなこういうの。,,,,,,
ショートカットの為に代々木体育館前。安室ちゃんか～。すごい人出だな。,,,,,,
本番初日で監視です(^^;; (@ 東京ミッドタウン (Tokyo Midtown) w/ 12 others) [URL],,,,,,
早朝にやったフットサルで早くも筋肉痛に（;￣□￣）/イタタ まだ若い方なんだね オイラの身体(ﾟДﾟ;),,,,,,
タバコのキャンペーンガールと一緒に居酒屋などを周ってくれるディレクターの男性を募集してます(^O^)誰か綺麗な女性と一緒にバイトしたい暇な男性いませんかー？笑,,,,,,
メインズカップなぅ DISTサーファーってこれだけいるんだな〜 Michael隊長、小栗クルー達も健闘中 秋のサーフ祭りが面白い 応援に来られる皆様は防寒対策で起こしくださいね [URL] [URL],,,,,,
明けましておめでとうございます♪今年も宜しくお願いしますm(__)m☆どんどん須賀川店☆今日の日替わりランチは、あったかぁ～い『ラーメンセット』です♪♪唐揚げも付きますよ。でわ、本年も元気に11時半よりランチタイムオープン致します(*^^*),,,,,,
霞ヶ浦 北浦 サイクリング [24kph, 8m, [URL] ],,,,
[USER] バイクでですか？今日みたいな天気だったらいいですね★あたしもここからだと唐津近いのに…行きたかったです(;´д｀),,,,,,
ゆなやゆぬすひむさほさはなゆぬゆはノノしさつひねりぬのそりへそwnyzf,,,,,,
海だー！ 42.990311,141.451663 [URL],,,,,
時間的にもピークなんだろうけど、こんな並んでまで食うかラッシャーバカヤロッ,,,,,,
Deadly Bloodly HOT days ahead...,,,,,,
黒門酒場北浜店 秋冬限定新メニュー  だし湯豆腐280円 [URL],,,,,,
おっし！今日はこれで仕事終わり( ´ ▽ ` )ﾉ  さっさと帰ってビールビール！,,,,,,
レバ刺しちょー久しぶり！！ちょー美味しい！！！うひょーっっ！！ これが食べられなくなるかもしれないなんて……… デモすっぞデモ！！！,,,,,,
バックウケ◎;バックタチ○;絡みウケ○;絡みタチ◎同僚から一言『つぶらな瞳で見つめられると思わずドキドキ!汁プレイがかなりのお気に入りだそうです♪』汁プレイ・・( ﾟДﾟ) [URL],,,,,,
久々の韓国料理＼(^o^)／  @ 兄夫石焼屋 兄夫食堂 上野店 [URL],,,,,,
[USER] 棒があれば誰にもまけません〜しかし…棒なんてないし（笑）,,,,,,
名古屋が誇る世界最大級?のプラネタリウムを見る為に並んでます、なう。1500人待ってます。スゲー！,,,,,,
どんどん焼き食べたなぅ(^-^)v @ NDソフトスタジアム山形にタッチ！ [URL],,,,,,
[USER] 大半は夕香里さんがサポートしますから。でも、チョリとはこれからも仲良くしたいのでよろぴく,,,,,,
[USER] てか、どっか行きたいし(ﾟ∀ﾟ)テストは来週の水曜日から始まる！,,,,,,
[USER] この頃から一目置いてます。2012復活（笑）楽しみにしてますf^_^;),,,,,,
人にうつるから、治るまではお家で安静にしてって言っても聞かないんだよー(>_<),,,,,,
次回は登るのだ(`･ω･´)ｼｬｷｰﾝ  @ 東京タワー (Tokyo Tower) [URL],,,,,,
今日のビールのお供は、やっぱりコレ‼ 光パイセンのお店  @ 日本製紙クリネックススタジアム宮城 [URL],,,,,,
[USER] こちらこそよろしくお願いします＊´ω｀＊　男の娘ほんとおいしいですﾓｸﾞﾓｸﾞ,,,,,,
今日斎木が練習来てたで！レギュラー争い頑張れよ！“[USER] 頑張りましょう！！キックの練習します！！RT [USER] 次の試合は最終節になります。 11/20(日)にホンダ鈴鹿ＦＣと1位をかけて戦います！”,,,,,,
なんで(笑)がつくのか？自分はどんな行動をするのか？RT [USER] 「今と変わらない」と呟いている奴ら。どうせ、明日になれば、各自の職場で、学校で、事なかれ主義に徹するんだろ? そりゃ、変わらないわな（笑）  #nhk  #nhkspecial,,,,,,
グッド!! RT [USER] カンボジアでスタンディング・オベーションが止まらないデュオ→アンコールWaT 35.647357,139.678294 [URL],,,,,
#HikeMate が歩くレコードをスタートしましだ。  [URL],,,,,,
モコシシ。植神様。ワイルドだろぉ～？ ほんまなんなんｗｗｗｗｗｗ 3-6LINEワロタｗｗｗｗｗｗｗｗｗｗｗ,,,,,,
[USER] [USER] 長濱ちゃんぱっつん？何人見知りしてるのw,,,,,,
大山さんのバスツアーにきてみた…さっき写真が添付されなかったな [URL],,,,,,
[USER] また西武線が走ってそうな遠いとこだって言ったら怒られそうだからそれ以上は言わないw,,,,,,
今日は夕立きそうだな。 35.713437,139.832362,,,,,
[USER] ﾍｰｲﾍｰｲﾎｰﾍｰｲﾍｰｲﾎｰ！！虎はなにゆえ強いと思う？もともとOOOからよー！,,,,,,
おはようございます！  今朝は雨上がりの朝で空気がリンとしてますね。  寒い１日らしいですが、頑張って過ごしましょう♪ [URL],,,,,,
まあまあ面白かったけど人の量と展示レイアウトがあってなくてちょっとフラストレーション溜まった件。  @ ワタリウム美術館 [URL],,,,,,
仲見世も静まりかえった。観光客が全員黙祷を始めた。この静けさ。きっとこの時間、日本国民全員が被災者を偲び、震災を自分の事して考え、東北、日本の復興を改めて誓っただろう。日本は決して負けない国だ！,,,,,,
[USER] 隠れキャラとかですか？しかし、笑える(((o(*ﾟ▽ﾟ*)o))),,,,,,
[USER] ただいまですー！ やはり地元くるとなんか安心します,,,,,,
レポートだけ出しに行くのかったるいー(´･_･`) えーごペラペラになりたす(T . T),,,,,,
お出かけ (@ 一橋学園駅 (Hitotsubashi-Gakuen Sta.)) [URL],,,,,,
おはようございます(*^_^*)ソフトバンク福知山、本日も元気にオープンしました。 今日も猛暑、いや酷暑になりそうなお天気です。最近は救急車がお店の前を通る回数も増えた気がします。熱中症には気を付けて、三連休を満喫しましょ☆*:.｡. o(≧▽≦)o .｡.:*☆,,,,,,
これで浜津さんもステキ女子(笑) androidで困ったらお声掛け下さい！ [USER] Xperia rayを所持。スマホ2台持つときにはrayがおすすめかも。 小さくて軽い。,,,,,,
来たーーーKRYのアルバム発売だって！詳細は不明だけどやばい嬉しい(；8；)待ってたよ…早く情報上がってこーいㅠㅠ,,,,,,
今日の真光寺でのA2の演奏模様です！気持ち良かったです♪真光寺さんは音楽の弁天さまが祀ってあります。 [URL],,,,,,
今までの出張で一番いい部屋だ。ここに一人で泊まるのだ [URL],,,,,,
ミュウツーは一作目だったこともあり思いで補正とミュウツー！！というインパクトがすごかった。つくり込がたりないけど。声優の豪華さはやばいよね。,,,,,,
民青新聞さん同行取材のもと、昼mtg、今から田辺でfacebook講座 です。[USER],,,,,,
とりあえず心落ち着かせてプレゼン頑張ったらいいか（＾∇＾）ノリで行こ！ バス乗れたおやすみなさい（＾∇＾）,,,,,,
我が家のしろ達(笑)白いの4匹もいるから名前覚えらんない'` [URL],,,,,,
ねとった。すぐに。笑 楽しすぎて。 やべ、とっくに、海老名すぎたね。 顔あらってへん(>_<) すっぴんで寝たい(>_<),,,,,,
東京ビックサイトなう♪(´ε｀ )誰もいないΣ（ﾟдﾟlll） [URL],,,,,,
一駅寝過ごした（笑） (@ 高麗川駅 (Komagawa Sta.)) [URL],,,,,,
[USER] めちゃ美味しかったよん✨ 今度一緒に行こ～知ってるかもしれないけど、うちの近くにある「パルランテ」ってゆー素敵なカフェだよ,,,,,,
初めて一人で入院させたなう。ねむいなう。。太陽がのぼりはじめてるなう・・・,,,,,,
[USER] こらから見ました(^^)v 福岡タワーの階段登りしたことあります!!あれ大変ですよね私も筋肉痛なりましたから,,,,,,
[USER] 電話は無理でも使えたら便利…かな  トビアスんち,,,,,,
成田空港到着…から30分経ってようやく電波が入った。涼しいところから暑いところへ連れてきたからだろうか、iPhone okojoがご機嫌ナナメ。,,,,,,
思えば人生後悔が多い。浄化の空間 (@ オリオール) [URL],,,,,,
おはようございます。秋葉原出張です。ｲﾏｺｺ L:東京都千代田区神田松永町１,,,,,,
昨日は2人、テルマエロマエを読んだり、論文を読んだりして、泊まっていきました。今日も空けてます。,,,,,,
Sony EricssonのTrackID™で見つけた安室奈美恵のLove Storyを聴いてみて!,,,,,,
夜間救急なう（ーー；）もおしんどい…とりあえず座薬をくれええ～今39度2でした,,,,,,
[USER] なんて書いてあるかわからんとですが、よろしくとです。( ´ ▽ ` )ﾉ,,,,,,
[USER] 花粉症ですか？ 私、花粉症なんです。そろそろヤバイですよ(^-^;,,,,,,
女子ばっかりの水泳部集団がいる(;o;)どこの大学だろう？国内ででかいスーツケースだから合宿かな？それとも大会？！,,,,,,
batameloはマジパンツ9000000％です。 [URL]  これは難易度高いな…(レスしづらい的な意味で),,,,,,
[USER] 天下無敵のりょーこｻﾝが風邪とゎ＼(゜ロ＼)(／ロ゜)／呪い？？ｻｲﾄも来るから治ったらぉぃでゃす～☆,,,,,,
あぢー！いつもの補給ポイントに到達。時間はいつも通りだけど、バテ具合が全然違う。時速も一キロ上がった。。,,,,,,
26日 北千住きっちんはうす ソーセージのポトフ  オムハヤシ,,,,,,
[USER] 卓球の腕磨きます(泣)← 油そば広める広める＼(^o^)／まじウマでした！,,,,,,
"我们家一样，所以我换Android""[USER] 拿了个Android的手机回家，孩子看到就要玩，结果发现无从下手，除了滑动开机，其它点来点去就是没有她想要的东西，玩了一会儿就没兴趣了。从两岁孩子的表现就能知道Android和iPhone的差距。别忘了滑动开机还是苹果的专利。""",,,,,,
よっ、世界一の無責任衆！ 原子力対策本部、議事録なし [URL] #yjfc_fukushima_nuclear_plant,,,,,,
今日は 15 回 腕立てしました！  #365daysApp [URL],,,,,,
算数科の中川先生とばったり会って話をした(*^^*) やっぱあの先生いいわぁー(*^^*),,,,,,
聖和大学にて待機なう( ´△｀)試合13:50 アップ完了11:15( ´△｀),,,,,,
でも多分、行く道すがらが楽しければ、何処に行っても幸せ。花が咲いているのをみれば、緑の楓の葉が揺れているのを見れば、風が吹いていれば、それでその時が幸せならば。,,,,,,
こんなの食べちゃう(๑′ᴗ‵๑)  @ SUN DOG 西小倉駅前店 [URL],,,,,,
あ〜、もう半クラ疲れた(~_~;) ロックスタって心機一転！家まで安全運転で帰るぜ！,,,,,,
[USER] mixiのFPSエアソフトあいってらっしゃるんですか？,,,,,,
到着。東京の空気は気持ち悪い。 (@ 羽田空港 第2ターミナル (HND/RJTT) w/ 14 others) [URL],,,,,,
会社に戻って、事務処理中。２足の草鞋はきつい…(ToT)能力無いしなぁ,,,,,,
昨日の99変種6匹捕獲お疲れさまでした(^-^)結局キッチリ10戦でしたね(^^;でも楽しかったので苦にはなりませんでした♪またヨロシクです(^-^)/,,,,,,
[USER] [USER] 何言ってんのこの人？？深読みし過ぎwww,,,,,,
500円でこれは嬉しいレベル。いつも満員な理由が分かった。 [URL],,,,,,
今夜は2012年一発目のFRESH[USER] です！  ぜひぜひお待ちしております！＼(^^)／,,,,,,
カレー食べています。 (@ カフェ パインツリーブレス) [pic]: [URL],,,,,,
路上で車のバッテリーが切れて、すげえ焦った。余裕のある人なら「バッテリー切れなう」とかツイートしたんだろうか？,,,,,,
[USER] シャンプーして朝ごはん食べたらホッとしたみたいf^_^;) 茶色の写真送りたいのだけど、何度トライしてもエラーになるの… そのうち送るから見てね（＾∇＾）,,,,,,
ハードリーグなう。 (@ HEAVENS GATE) [URL],,,,,,
KBQ BURGERの先行販売。食うぜ！ (@ マクドナルド 銀座インズ店) [URL],,,,,,
閉まってる（苦笑）“[USER] [USER] 入って来なぁ~♪(´ε｀ )”,,,,,,
うーみーはーひろいーなーおおきーいーなー　※違います [URL],,,,,,
全力注入します！！“[USER] ガマ電気注入お願いします！！RT [USER] いよいよ今週は…Good ol' Days！！朝までGood Reggae Muzik！！！！！ [URL],,,,,,
[USER] [USER] うん…でもテレビ誌は我慢してるかな…^^;,,,,,,
朝からラーメン。ここで待ち合わせなんだけど、早すぎて、まだ誰も来ていないや。 (@ 那須高原SA (上り)) [pic]: [URL],,,,,,
[USER] はいです！！    高校生になったらサークル参加しようと思ったんですけどねー   画力がほしいなぁっていう切実な願いです,,,,,,
震災寄付を10万円したと何度も自慢する奴。素晴らしいことだけど、それで終わりじゃない。俺は、少額だけどずっと続けるよ。,,,,,,
[USER] 松島や、ああ松島や、松島や。おやすみなさいo(^▽^)o気をつけていってきてね＼(^o^)／,,,,,,
[USER] かわいいですよね！ 兼六園の駐車場から金沢城石川門に歩いてく坂にあるお土産やさんの前ですよー。うちのツアーだとあんまりいかないとこかも。。,,,,,,
グラス＋升の酒を少しこぼしてしまった(汗)　一杯目、升ごと持って大丈夫だったからそれで飲もうとしたら二杯目でこぼした。。。,,,,,,
20世紀のプログラマはメルヘンでコーディングして来た、、、そしてメンヘルに、、、,,,,,,
8月9日と言えば (8:や 9: く) 厄のひだなー雛の日としてpixivではまた雛祭りやるのかー？,,,,,,
どういたしまして(^｡^) おいらも最初配給のみだったから(^｡^) 後は頑張って稼ごう(^-^)/,,,,,,
年内最後のお祭りおしまい！ 瑞浪は寒かった..(;´д｀) でも楽しかった!!(^^) [URL],,,,,,
過去問2つこなしたけど6〜7割やな。 今日と明日で単語を覚えたらいけるかな。単語問題拾ったら8割いくな♪(´ε｀ )がんばろ(o^^o),,,,,,
イモ欽トリオがでてる！ (@ なんばグランド花月) [pic]: [URL],,,,,,
[USER] 携帯電話による支払い「グーグル・ウォレット」、米国で開始〔有料〕 [URL],,,,,,
[USER] もお家ないよ(;_;)かずあきんちだお(;_;)IKEAいこ(*´∇｀*),,,,,,
カレーバイキングで食事中。プレートも選べるが、あえて可愛いやつで(^-^)/ (@ 道の駅あ・ら・伊達な道の駅) [pic]: [URL],,,,,,
相変わらずな強行軍 (@ JR 京都駅 新幹線ホーム) [URL],,,,,,
[USER] うん、ちょっとさびしかったんだ！みんな話しかけてくれたので元気出て来た！もう大丈夫…ありがとう☆,,,,,,
今日ゎゅりなとカフェのパーティーに行ってくるヨン(=´∀｀)人(´∀｀=),,,,,,
2千円強の買物をして2千円強を出して、お釣りを貰おうと思ったら、3千円渡された。どうやら2と5を打ち間違えたらしい。もちろん、ちゃんと返金しました(￣^￣)ゞ (@ スーパービバホーム 足利堀込店) [URL],,,,,,
だれかcap新人のメーリスDしてくれませんか。。。遅れそうや。。。,,,,,,
世の中でのアバターの使命は信念体系の統合を促す触媒となることです。。。信念とはいつか現実へと花ひらくことになる種のことです。   ハリー・パルマー,,,,,,
[USER] ものすごく自分が思ったこととおんなじで震えました！ついつい理不尽にイラっとしたりしちゃうけど、深呼吸してもう一度考えたら、自分幸せすぎて情けなくなります。,,,,,,
